改造にあたって、Data Crystalの資料を参照しています。
◇スマトラン(EnemyID:04 | ObjectID:16)
・$396F8 スマトランが反応するパッド入力
    bit7 A
    bit6 B
    bit5 セレクト
    bit4 スタート 
    bit3 上
    bit2 下
    bit1 左
    bit0 右

スマトランがロックマンに飛び掛るまでの距離(ロックマンとのX,Y方向距離が共にこの値未満のとき飛び掛る)
・$396FF X方向距離
・$39706 Y方向距離

速度
・$3976E Y方向速度(low)
・$39773 Y方向速度(high)
スマトランのX方向速度は設置オブジェクト初期値で設定する。


◇マウスベール(EnemyID:05 | ObjectID:17)
・$38F8F 地面端到着後・方向転換するまでのフレーム数

マウスベールのX方向速度は設置オブジェクト初期値で設定する。


◇新シールドアタッカー(EnemyID:06 | ObjectID:18)
ブロックにぶつかる又は自身の36ドット下のチップ属性が偶数であるとき方向転換する。

新シールドアタッカーのX方向速度は設置オブジェクト初期値で設定する。


◇レンバクン(EnemyID:07 | 本体 -> ObjectID:19, 爆弾 -> ObjectID:1A)
コーカーＱから見たロックマンのいる方角(こちらを参照)が下の値となった時、落下状態に移る。
・$38FB7 1個目
・$38FBB 2個目

レンバクンのX方向速度は設置オブジェクト初期値で設定する。


◇メットール砲台(EnemyID:08 | 本体 -> ObjectID:1B, 弾 -> ObjectID:1C)


◇メットールＫ－１０００(EnemyID:09 | ObjectID:1D, 弾 -> ObjectID:55)


◇落下するクリスタル(EnemyID:0A | ObjectID:26)
クリスタルマンステージの仕掛けを参照。


◇V（ブイ）(EnemyID:0B | ObjectID:1F)
動作無し(rtsのみ)

◇パワーマッスラー(EnemyID:0C | ObjectID:20)

◇アパッチジョー(EnemyID:0D | 本体 -> ObjectID:21, 弾 -> ObjectID:55)

◇鉄キューン(逆さ -> EnemyID:0E, 普通 -> EnemyID:0F | ObjectID:23)


◇ミザイル(EnemyID:10 | 生成機 -> ObjectID:24, 本体 -> ObjectID:25)
・$3989B ロックマンとのX方向距離がこの値未満になったときにミザイル出現
・$397A9 ミザイルのHP
・$397B8 ミザイルが飛び出す時のY方向速度(low)
・$397BD ミザイルが飛び出す時のY方向速度(high)
・$397C2 ミザイルが停止するまでのフレーム数(あまり大きな値を指定するとそのまま画面外まで飛んでいくので注意)
・$397F4 ミザイルが戻っていく時のY方向速度(high)(lowは飛び出す時の値と同じ)


◇スターマンステージの隕石(EnemyID:11 | 生成機 -> ObjectID:38, 本体 -> ObjectID:39)

◇グラビットン(EnemyID:12 | 本体 -> ObjectID:28, 弾 -> ObjectID:29)

◇ウェーブマンステージの噴き出す水(EnemyID:13 | ObjectID:27)

◇タテパッカン(EnemyID:14 | 本体 -> ObjectID:2B, 弾 -> ObjectID:2C)

◇フージーン(EnemyID:15 | 本体 -> ObjectID:31, 弾 -> ObjectID:32)

◇ボンバースローン(EnemyID:16 | 本体 -> ObjectID:33, 弾 -> ObjectID:34)


◇ライダージョー(画面右から登場)(EnemyID:17 | ObjectID:35)
X方向速度は設置オブジェクト初期値で設定する。

◇ライダージョー(画面左から登場・弾を撃つ)(EnemyID:28 | 本体 -> ObjectID:35, 弾 -> ObjectID:37)
・$39DAA 最初の弾を撃つまでのフレーム数
・$39DB4 弾を撃つまでのフレーム数
・$39DD6 弾のX方向速度(low)
・$39DDB 弾のX方向速度(high)

ライダージョー本体のX方向速度は設置オブジェクト初期値で設定する。



◇リリック(EnemyID:61 | ObjectID:68)
・$3AB44 リリックの速度(サブルーチン$F470の引数)

